Country,Year,1st_pillar_Institutions,2nd_pillar_Infrastructure,3rd_pillar_Macroeconomic_environment,4th_pillar_Health_and_primary_education,5th_pillar_Higher_education_and_training,6th_pillar_Goods_market_efficiency,7th_pillar_Labor_market_efficiency,8th_pillar_Financial_market_development,9th_pillar_Technological_readiness,10th_pillar_Market_size,11th_pillar_Business_sophistication_,12th_pillar_Innovation,Global_Competitiveness_Index,Population,GDP,Income group,Region,Forum classification
Germany,2012,5.311083575,6.36045962,5.481728004,6.303203469,5.800262942,4.918689946,4.505370046,4.660548543,5.709810501,6.020802867,5.714977334,5.417117184,5.477261648,80477952,42959,High income,Advanced economies,Europe and North America
Germany,2013,5.3038889,6.239345355,5.682464377,6.356805274,5.896654647,4.922295398,4.574288207,4.694798254,5.72402874,6.019953736,5.684623446,5.502328122,5.509836179,80565861,42887,High income,Advanced economies,Europe and North America
Germany,2008,5.654470873,6.64990366,5.418326743,6.102931094,5.151291967,5.1921851,4.425660209,5.346042733,5.223134238,5.987125306,5.870320495,5.216975646,5.464829336,80665906,41199,High income,Advanced economies,Europe and North America
Germany,2017,5.300645453,5.964283908,6.099768886,6.518735602,5.695279095,5.267398682,5.02978811,5.033200137,6.169137886,6.000950778,5.646384089,5.649318059,5.654839905,82695000,368000,High income,Advanced economies,Europe and North America
Germany,2010,5.497975519,6.430324571,5.324945927,6.317070475,5.330974949,4.966964221,4.398298336,4.62373397,5.359525741,6.005537902,5.8249164,5.185207606,5.387120686,80435307,40632,High income,Advanced economies,Europe and North America
Germany,2007,5.827134605,6.650393466,4.925399351,5.875583531,5.325447709,5.291380605,4.452280012,5.639652733,5.054498447,5.897939179,5.934644988,5.456834798,5.511080739,80854515,40693,High income,Advanced economies,Europe and North America
Germany,2009,5.504611249,6.588763652,5.275616762,6.013639345,5.069740459,5.014916138,4.33428139,4.683388516,5.625480794,6.015596691,5.823936434,5.108812371,5.370994203,80519685,38975,High income,Advanced economies,Europe and North America
Germany,2011,5.270692032,6.35419166,5.428373877,6.268996332,5.729831745,4.786486155,4.408885677,4.53662211,5.60733771,5.998712322,5.664453569,5.389273696,5.413161428,80424665,42080,High income,Advanced economies,Europe and North America
Ghana,2007,,,,,,,,,,,,,,22528041,2751,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2010,3.932346073,2.87086963,2.998207125,4.339654111,3.271160911,4.087298121,4.173370979,4.242163426,2.847449725,3.252771441,3.501626068,2.839668603,3.55568976,24317734,3091,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2009,3.866207934,3.135042505,2.679356014,3.929748496,3.195476495,3.943113485,4.060310846,4.347101787,2.67725314,3.252138573,3.520767889,2.630348066,3.448062477,23713164,2934,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2012,3.821166007,2.865162418,4.066050293,4.653250453,3.400846906,4.200140706,4.084968022,4.20699142,3.134148875,3.574792072,3.572218982,2.961432755,3.792629136,25544565,3685,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2013,3.889118348,3.019436666,3.079621754,4.477683142,3.419529561,4.275542215,4.141569881,4.355457288,3.212361819,3.665957636,3.854844601,3.269943999,3.693773108,26164432,3873,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2008,4.015062629,2.976982295,3.908322107,4.041060084,3.122083855,3.910747479,4.001883766,4.27633875,2.521535322,3.087418915,3.561185308,2.622497113,3.616139933,23115919,2907,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2011,3.957256623,2.83984039,3.486737514,4.29123962,3.345492471,4.200319667,4.245125227,4.155206688,2.965250782,3.423430487,3.506894573,2.894241341,3.64915433,24928503,3446,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2016,3.947765897,2.879131003,2.897454508,4.641556149,3.774870947,4.157564513,4.228356394,3.783596849,3.388027745,3.704348659,3.912845603,3.316834489,3.679439434,27777723,3827,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2017,4.03392537,3.251865493,2.643647831,4.547114962,3.672869325,4.295497745,4.296467585,3.781414572,3.562697624,3.771737104,4.091046007,3.402801377,3.722702464,28833629,4733,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2014,3.851488098,3.029807946,3.381746105,4.455421485,3.457798401,4.343326779,3.943073225,4.146390091,3.105559754,3.710882643,3.940019517,3.307297898,3.713529283,26786598,3953,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Ghana,2015,3.856582911,2.738749884,2.79370443,4.530282815,3.571112961,4.19028878,4.005290583,3.784324348,3.244911782,3.742987815,3.897012443,3.305144758,3.582722052,27409893,4099,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Greece,2009,3.831790597,4.310994273,4.019027254,5.808072245,4.432207631,4.09165901,3.795793635,4.021670919,3.860639014,4.587007603,4.035795481,3.136233791,4.04004676,11179425,30780,High income,Advanced economies,Europe and North America
Greece,2011,3.523599801,4.540819566,3.290001716,6.090278906,4.663805859,3.883808926,3.632950359,3.516584021,4.210569088,4.424388661,3.79155536,2.978794069,3.91546299,11153047,26675,High income,Advanced economies,Europe and North America
Greece,2014,3.644741143,4.877877312,3.312610526,6.147985404,4.837751789,4.19810089,3.740161502,2.973600324,4.787231481,4.341321225,3.914258625,3.175994426,4.035879278,11000777,24502,High income,Advanced economies,Europe and North America
Greece,2008,4.097431978,4.281992799,4.371509804,5.894414016,4.524767249,4.22447587,3.888530868,4.290447774,3.49654206,4.516812687,4.126065872,3.17688241,4.106174381,11161755,32197,High income,Advanced economies,Europe and North America
Greece,2013,3.485854831,4.790513325,2.821857032,6.095564917,4.805832383,3.932492845,3.765473142,2.862229393,4.619141609,4.374843587,3.843308705,3.079582026,3.928124195,11055164,24159,High income,Advanced economies,Europe and North America
Greece,2010,3.670470368,4.570101899,3.609951572,6.127718185,4.672435798,3.905183562,3.71341135,3.875606391,4.058077033,4.524301922,3.826927449,2.998624249,3.985162861,11177509,29190,High income,Advanced economies,Europe and North America
Greece,2012,3.368573226,4.695908688,2.421164912,6.035698801,4.744908085,3.920493019,3.56252901,3.127581449,4.53853818,4.377101943,3.74430561,2.995060183,3.859568124,11109662,24991,High income,Advanced economies,Europe and North America
Greece,2007,4.313716427,4.379417623,4.285847923,5.83111999,4.439205884,4.243860833,3.693707846,4.412436886,3.293722121,4.327940363,4.127351253,3.226494853,4.077821508,11131302,32408,High income,Advanced economies,Europe and North America
Greece,2017,3.653862913,4.887148457,3.700650771,6.095845466,4.871763925,4.124334908,3.724930074,2.493948825,4.801704282,4.277551788,3.935802209,3.266459906,4.021734181,10760421,20000,High income,Advanced economies,Europe and North America
